Player,Team,Pos,G,GS,QBrec,Cmp,Pass Attempts,Cmp%,Pass Yards,Pass TD,TD%,Int,Int%,Passing 1D,Pass (Lng),Pass Yards/Att,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Rush Att,Rush Yards,Rush TD,Rushing 1D,Rush (Lng),Rush Yards/Att,Rush Yards/Game,RB Fumble,Tgt,Rec,Receiving Yards,Y/R,Receiving TD,Receiving 1D,Receiving (Lng),Y/Tgt,R/G,Receiving Yards/Game,WR Fumble,Yards after Catch,Win,Loss,Tie,Full Name,Conference,Division
Justice Hill,BAL,RB,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,8,6,52,8.7,0,2,18,6.5,6.0,52.0,0,2.1999999999999993,0,0,0,Baltimore Ravens,AFC,AFC North
Allen Lazard,NYJ,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9,6,89,14.8,2,6,36,9.9,6.0,89.0,0,4.9,0,0,0,New York Jets,AFC,AFC East
Tyler Lockett,SEA,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,6,77,12.8,0,5,19,11.0,6.0,77.0,0,1.8000000000000007,0,0,0,Seattle Seahawks,NFC,NFC West
George Pickens,PIT,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,6,85,14.2,0,4,40,12.1,6.0,85.0,0,2.0999999999999996,0,0,0,Pittsburgh Steelers,AFC,AFC North
Wan'Dale Robinson,NYG,WR,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,12,6,44,7.3,0,2,15,3.7,6.0,44.0,0,3.5999999999999996,0,0,0,New York Giants,NFC,NFC East
Rachaad White,TAM,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,6,75,12.5,0,2,32,12.5,6.0,75.0,0,0.0,0,0,0,Tampa Bay Buccaneers,NFC,NFC South
Garrett Wilson,NYJ,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11,6,60,10.0,0,3,16,5.5,6.0,60.0,0,4.5,0,0,0,New York Jets,AFC,AFC East
Davante Adams,LVR,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,5,59,11.8,0,3,23,9.8,5.0,59.0,0,2.0,0,0,0,Las Vegas Raiders,AFC,AFC West
A.J. Brown,PHI,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,10,5,119,23.8,1,5,67,11.9,5.0,119.0,0,11.9,0,0,0,Philadelphia Eagles,NFC,NFC East
Mike Evans,TAM,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,5,61,12.2,2,4,24,10.2,5.0,61.0,0,2.0,0,0,0,Tampa Bay Buccaneers,NFC,NFC South
Breece Hall,NYJ,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,5,39,7.8,0,2,13,6.5,5.0,39.0,1,1.2999999999999998,0,0,0,New York Jets,AFC,AFC East
Jauan Jennings,SFO,WR,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,5,64,12.8,0,4,22,12.8,5.0,64.0,0,0.0,0,0,0,San Francisco 49ers,NFC,NFC West
Tyler Johnson,LAR,WR,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,5,79,15.8,0,2,63,11.3,5.0,79.0,0,4.5,0,0,0,Los Angeles Rams,NFC,NFC West
Alvin Kamara,NOR,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,5,27,5.4,0,0,18,5.4,5.0,27.0,0,0.0,0,0,0,New Orleans Saints,NFC,NFC South
CeeDee Lamb,DAL,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,10,5,61,12.2,0,2,34,6.1,5.0,61.0,0,6.1,0,0,0,Dallas Cowboys,NFC,NFC East
Trey McBride,ARI,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9,5,30,6.0,0,2,8,3.3,5.0,30.0,0,2.7,0,0,0,Arizona Cardinals,NFC,NFC West
Ladd McConkey,LAC,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,5,39,7.8,1,2,11,5.6,5.0,39.0,0,2.2,0,0,0,Los Angeles Chargers,AFC,AFC West
Jaleel McLaughlin,DEN,RB,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,5,1,0.2,0,0,3,0.2,5.0,1.0,1,0.0,0,0,0,Denver Broncos,AFC,AFC West
D.J. Moore,CHI,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,8,5,36,7.2,0,2,13,4.5,5.0,36.0,0,2.7,0,0,0,Chicago Bears,NFC,NFC North
Malik Nabers,NYG,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,5,66,13.2,0,2,25,9.4,5.0,66.0,0,3.799999999999999,0,0,0,New York Giants,NFC,NFC East
Josh Reynolds,DEN,WR,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,8,5,45,9.0,0,3,25,5.6,5.0,45.0,0,3.4000000000000004,0,0,0,Denver Broncos,AFC,AFC West
Bijan Robinson,ATL,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,5,43,8.6,0,3,14,8.6,5.0,43.0,0,0.0,0,0,0,Atlanta Falcons,NFC,NFC South
Deebo Samuel,SFO,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9,5,54,10.8,0,3,25,6.0,5.0,54.0,0,4.800000000000001,0,0,0,San Francisco 49ers,NFC,NFC West
Jaylen Waddle,MIA,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,5,109,21.8,0,4,63,21.8,5.0,109.0,0,0.0,0,0,0,Miami Dolphins,AFC,AFC East
Jameson Williams,DET,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9,5,121,24.2,1,3,52,13.4,5.0,121.0,0,10.799999999999999,0,0,0,Detroit Lions,NFC,NFC North
Keenan Allen,CHI,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11,4,29,7.3,0,2,9,2.6,4.0,29.0,0,4.699999999999999,0,0,0,Chicago Bears,NFC,NFC North
Keon Coleman,BUF,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,4,51,12.8,0,2,28,10.2,4.0,51.0,0,2.6000000000000014,0,0,0,Buffalo Bills,AFC,AFC East
Brandin Cooks,DAL,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,4,40,10.0,1,2,21,5.7,4.0,40.0,0,4.3,0,0,0,Dallas Cowboys,NFC,NFC East
Romeo Doubs,GNB,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,4,50,12.5,0,2,19,7.1,4.0,50.0,0,5.4,0,0,0,Green Bay Packers,NFC,NFC North
Austin Ekeler,WAS,RB,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,4,52,13.0,0,2,22,13.0,4.0,52.0,0,0.0,0,0,0,Washington Commanders,NFC,NFC East
Pat Freiermuth,PIT,TE,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,4,27,6.8,0,2,10,6.8,4.0,27.0,0,0.0,0,0,0,Pittsburgh Steelers,AFC,AFC North
Jahmyr Gibbs,DET,RB,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,4,34,8.5,0,2,14,5.7,4.0,34.0,0,2.8,0,0,0,Detroit Lions,NFC,NFC North
Dallas Goedert,PHI,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,4,31,7.8,0,1,21,6.2,4.0,31.0,0,1.5999999999999996,0,0,0,Philadelphia Eagles,NFC,NFC East
Justin Jefferson,MIN,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,4,59,14.8,1,2,44,9.8,4.0,59.0,0,5.0,0,0,0,Minnesota Vikings,NFC,NFC North
George Kittle,SFO,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,4,40,10.0,0,1,26,8.0,4.0,40.0,0,2.0,0,0,0,San Francisco 49ers,NFC,NFC West
Sam LaPorta,DET,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,4,45,11.3,0,2,18,9.0,4.0,45.0,0,2.3000000000000007,0,0,0,Detroit Lions,NFC,NFC North
Xavier Legette,CAR,WR,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,4,35,8.8,0,2,18,5.0,4.0,35.0,0,3.8000000000000007,0,0,0,Carolina Panthers,NFC,NFC South
Alexander Mattison,LVR,RB,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,4,43,10.8,1,2,31,7.2,4.0,43.0,0,3.6000000000000005,0,0,0,Las Vegas Raiders,AFC,AFC West
Ray-Ray McCloud,ATL,WR,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,4,52,13.0,0,2,20,7.4,4.0,52.0,0,5.6,0,0,0,Atlanta Falcons,NFC,NFC South
Foster Moreau,NOR,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,4,43,10.8,1,2,22,10.8,4.0,43.0,0,0.0,0,0,0,New Orleans Saints,NFC,NFC South
Puka Nacua,LAR,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,4,35,8.8,0,1,16,8.8,4.0,35.0,0,0.0,0,0,0,Los Angeles Rams,NFC,NFC West
David Njoku,CLE,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,4,44,11.0,0,1,29,8.8,4.0,44.0,0,2.1999999999999993,0,0,0,Cleveland Browns,AFC,AFC North
Colby Parkinson,LAR,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,4,47,11.8,0,3,20,9.4,4.0,47.0,0,2.4000000000000004,0,0,0,Los Angeles Rams,NFC,NFC West
Michael Pittman Jr.,IND,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,8,4,31,7.8,0,1,13,3.9,4.0,31.0,0,3.9,0,0,0,Indianapolis Colts,AFC,AFC South
Jayden Reed,GNB,WR,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,4,138,34.5,1,3,70,23.0,4.0,138.0,0,11.5,0,0,0,Green Bay Packers,NFC,NFC North
Demarcus Robinson,LAR,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,4,42,10.5,0,3,14,6.0,4.0,42.0,0,4.5,0,0,0,Los Angeles Rams,NFC,NFC West
Devin Singletary,NYG,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,4,15,3.8,0,1,12,3.0,4.0,15.0,0,0.7999999999999998,0,0,0,New York Giants,NFC,NFC East
Tyjae Spears,TEN,RB,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,4,11,2.8,0,1,5,2.8,4.0,11.0,0,0.0,0,0,0,Tennessee Titans,AFC,AFC South
Courtland Sutton,DEN,WR,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,12,4,38,9.5,0,2,17,3.2,4.0,38.0,0,6.3,0,0,0,Denver Broncos,AFC,AFC West
Brian Thomas,JAX,WR,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,4,47,11.8,1,3,18,11.8,4.0,47.0,0,0.0,0,0,0,Jacksonville Jaguars,AFC,AFC South
Jordan Addison,MIN,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,3,35,11.7,0,2,16,8.8,3.0,35.0,0,2.8999999999999986,0,0,0,Minnesota Vikings,NFC,NFC North
Jordan Akins,CLE,TE,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,3,27,9.0,0,1,13,6.8,3.0,27.0,0,2.2,0,0,0,Cleveland Browns,AFC,AFC North
Tyler Boyd,TEN,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,3,18,6.0,0,2,11,3.6,3.0,18.0,0,2.4,0,0,0,Tennessee Titans,AFC,AFC South
Chase Brown,CIN,RB,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,12,4.0,0,0,5,4.0,3.0,12.0,0,0.0,0,0,0,Cincinnati Bengals,AFC,AFC North
Ty Chandler,MIN,RB,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,25,8.3,0,2,10,8.3,3.0,25.0,0,0.0,0,0,0,Minnesota Vikings,NFC,NFC North
James Conner,ARI,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,3,33,11.0,0,1,22,8.3,3.0,33.0,0,2.6999999999999993,0,0,0,Arizona Cardinals,NFC,NFC West
James Cook,BUF,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,32,10.7,0,1,25,10.7,3.0,32.0,0,0.0,0,0,0,Buffalo Bills,AFC,AFC East
Gabriel Davis,JAX,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,62,20.7,0,3,22,20.7,3.0,62.0,0,0.0,0,0,0,Jacksonville Jaguars,AFC,AFC South
Tank Dell,HOU,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,3,40,13.3,0,2,23,5.7,3.0,40.0,0,7.6000000000000005,0,0,0,Houston Texans,AFC,AFC South
J.K. Dobbins,LAC,RB,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,4,1.3,0,0,3,1.3,3.0,4.0,0,0.0,0,0,0,Los Angeles Chargers,AFC,AFC West
Zach Ertz,WAS,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,3,28,9.3,0,1,12,7.0,3.0,28.0,0,2.3000000000000007,0,0,0,Washington Commanders,NFC,NFC East
Jake Ferguson,DAL,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,3,15,5.0,0,0,7,3.0,3.0,15.0,0,2.0,0,0,0,Dallas Cowboys,NFC,NFC East
Mike Gesicki,CIN,TE,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,3,18,6.0,0,0,7,4.5,3.0,18.0,0,1.5,0,0,0,Cincinnati Bengals,AFC,AFC North
Noah Gray,KAN,TE,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,37,12.3,0,2,13,12.3,3.0,37.0,0,0.0,0,0,0,Kansas City Chiefs,AFC,AFC West
Andrei Iosivas,CIN,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,3,26,8.7,0,2,13,4.3,3.0,26.0,0,4.3999999999999995,0,0,0,Cincinnati Bengals,AFC,AFC North
Jerry Jeudy,CLE,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,8,3,25,8.3,1,2,15,3.1,3.0,25.0,0,5.200000000000001,0,0,0,Cleveland Browns,AFC,AFC North
Quentin Johnston,LAC,WR,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,3,38,12.7,0,1,16,7.6,3.0,38.0,0,5.1,0,0,0,Los Angeles Chargers,AFC,AFC West
Travis Kelce,KAN,TE,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,3,34,11.3,0,2,23,8.5,3.0,34.0,0,2.8000000000000007,0,0,0,Kansas City Chiefs,AFC,AFC West
Luke McCaffrey,WAS,WR,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,18,6.0,0,1,10,6.0,3.0,18.0,0,0.0,0,0,0,Washington Commanders,NFC,NFC East
D.K. Metcalf,SEA,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,3,29,9.7,0,2,12,7.3,3.0,29.0,0,2.3999999999999995,0,0,0,Seattle Seahawks,NFC,NFC West
Jakobi Meyers,LVR,WR,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,61,20.3,0,2,33,20.3,3.0,61.0,0,0.0,0,0,0,Las Vegas Raiders,AFC,AFC West
Joe Mixon,HOU,RB,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,19,6.3,0,1,11,6.3,3.0,19.0,0,0.0,0,0,0,Houston Texans,AFC,AFC South
